Melhor Edição de som;2020;0;1917;0
Melhor Edição de som;2020;0;Coringa;0
Melhor Edição de som;2020;0;Star Wars: A Ascensão Skywalker;0
Melhor Edição de som;2020;0;Era Uma Vez em... Hollywood;0
Melhor Edição de som;2020;0;Ford vs Ferrari;1
Melhor Mixagem de Som;2020;0;Ad Astra ;0
Melhor Mixagem de Som;2020;0;Ford vs Ferrari ;0
Melhor Mixagem de Som;2020;0;1917;1
Melhor Mixagem de Som;2020;0;Coringa;0
Melhor Mixagem de Som;2020;0;Era Uma Vez em... Hollywood;0
Melhor Montagem;2020;0;O Irlandês;0
Melhor Montagem;2020;0;Jojo Rabbit;0
Melhor Montagem;2020;0;Coringa;0
Melhor Montagem;2020;0;Parasita;0
Melhor Montagem;2020;0;Ford vs Ferrari;1
Melhor Animação em curta-metragem;2020;0;Dcera (Daughter);0
Melhor Animação em curta-metragem;2020;0;Kitbull;0
Melhor Animação em curta-metragem;2020;0;Memorable;0
Melhor Animação em curta-metragem;2020;0;Hair Love;1
Melhor Animação em curta-metragem;2020;0;Sister;0
Melhor Curta-metragem;2020;0;Brotherhood;0
Melhor Curta-metragem;2020;0;Nefta Footbal Club;0
Melhor Curta-metragem;2020;0;The Neighbors’ Window;1
Melhor Curta-metragem;2020;0;Saria;0
Melhor Curta-metragem;2020;0;A Sister;0
Melhor Documentário de curta-metragem;2020;0;Learning to Skateboard in a Warzone (If You’re a Girl);1
Melhor Documentário de curta-metragem;2020;0;Lifeovertakesme;0
Melhor Documentário de curta-metragem;2020;0;St. Louis Superman;0
Melhor Documentário de curta-metragem;2020;0;Walk Run Cha-Cha;0
Melhor Documentário de curta-metragem;2020;0;In the Absence;0
